date,temperature,wind_speed,solar_radiation,industrial_load,residential_load,demand
2023-01-01 00:00:00,37.16524447345041,4.069358444886317,212.9578324233306,597.2564950471962,390.7465117185393,619.8503268311757
2023-01-01 01:00:00,35.41022213909345,5.823846874102022,584.0585062383367,214.77461218391176,236.2722077036029,320.53002585258844
2023-01-01 02:00:00,39.527566575582156,2.7736626988206945,524.415358863396,473.17085976653146,286.84734316593546,532.5136040031183
2023-01-01 03:00:00,21.096826123985068,12.120621409876945,708.6678897705851,529.5642079944403,331.7739949294048,512.8655976508991
2023-01-01 04:00:00,32.73546050750642,9.960306384655372,511.6726219240573,349.77303450415366,201.2297364454393,397.50239075711266
2023-01-01 05:00:00,39.192195336553766,12.836063665965634,672.5142723760898,355.70319488392784,398.67275226486623,480.10211534897
2023-01-01 06:00:00,24.88452070199274,4.419204618963065,352.68857412902764,353.775404201348,114.92606688290621,343.4015771912613
2023-01-01 07:00:00,32.32075312282544,6.486087411296946,429.9934506867646,450.58629867653264,138.90037439288326,439.73270386172067
2023-01-01 08:00:00,35.43601683949077,14.61082386762375,852.2903289834682,307.47592180291593,347.2903678035409,427.18041319569505
2023-01-01 09:00:00,31.00255871882705,13.729856230734283,414.0560920703099,453.6180575473225,164.2305280686784,434.6428805595898
2023-01-01 10:00:00,36.559807688272414,5.399965610476833,233.73176126476665,397.57107838109266,153.66221736496067,406.6760735192734
2023-01-01 11:00:00,33.39173487403977,11.94196270893626,560.6281043191027,471.5328191872354,296.08701702391033,481.96232588441615
2023-01-01 12:00:00,22.914103893732378,8.026227955217209,722.239597113997,491.3940518509171,126.70448412421024,431.8481363679147
2023-01-01 13:00:00,26.96072365057198,11.63759666528665,676.1820064235005,283.304342642233,263.1283552023505,345.7791204681324
2023-01-01 14:00:00,23.424947942705646,11.025826627612213,892.3357964949818,517.5552054007837,152.9594462388633,441.79838983656464
2023-01-01 15:00:00,36.85035069720464,11.309005709195118,220.03587061647195,590.8927409035934,242.22143457328502,571.9662887358816
2023-01-01 16:00:00,25.717706000146013,6.899913457966845,277.5014535042336,408.98935308723037,394.91606625358475,492.993691568105
2023-01-01 17:00:00,34.87423719022959,2.8676295536865557,795.9664232684704,281.9198240832774,374.7508352071866,427.0282676561087
2023-01-01 18:00:00,35.027220132317154,9.933475826198373,562.4602372436177,262.5370044301165,299.33465902681587,400.68403796540866
2023-01-01 19:00:00,39.93671683632986,14.174094052693968,710.1560213148413,557.3720977954279,137.0219035504964,523.3816439905834
2023-01-01 20:00:00,30.365511154031257,14.541930006320985,553.7582278560999,447.99731102844567,204.78547146859978,442.89973279275335
2023-01-01 21:00:00,35.888694124789254,12.33150198036084,570.3333236094288,261.5298343141779,136.95921882124213,318.8981800647065
2023-01-01 22:00:00,37.97629127337913,11.02747552447158,369.0278806911273,290.6292534810714,322.16356050229666,416.2253143490185
2023-01-01 23:00:00,34.052260131117436,3.3711986649942105,769.2161457896333,238.58801945183595,233.3133348053666,333.38115829383304
2023-01-02 00:00:00,34.70254493168291,5.134466232906695,853.2164258031927,377.734911179183,109.27474888971724,356.32489724500317
2023-01-02 01:00:00,28.863906002135156,9.379549681798588,835.0997344336351,442.55759325651206,218.03399146372004,446.5355215360323
2023-01-02 02:00:00,29.728638763701575,6.810714516655587,817.3039708500548,557.446904420806,308.4864013129097,538.6469607432077
2023-01-02 03:00:00,22.422673644215493,8.387547565129356,724.9385777629117,511.4958624799021,351.7032619452535,499.42135559693713
