demand,solar_available,wind_available,hydro_available,solar_used,wind_used,hydro_used
889.4264286299774,410.45374532443225,446.06080886919267,365.4036242966358,355.770571451991,311.2992500204921,222.35660715749435
408.03309545113075,107.6995687049994,337.4494738948345,283.58451396238956,107.6995687049994,142.81158340789574,102.00827386278269
413.26521250252466,339.98367386681343,407.96636302673005,260.5763619009362,165.30608500100988,144.64282437588363,103.31630312563117
799.861811331366,212.23373015007442,159.9486929250597,491.4752776828904,212.23373015007442,159.9486929250597,199.9654528328415
703.5475434821938,115.3977693305929,309.17517167363224,488.75116339756335,115.3977693305929,246.2416402187678,175.88688587054844
891.5748426123214,152.14290386142073,144.8438299739621,231.19986930739827,152.14290386142073,144.8438299739621,222.89371065308035
536.8654355185217,312.2628864163823,305.8435777787517,232.44172754444276,214.7461742074087,187.9029024314826,134.21635887963043
592.0235251549018,386.59429138636636,304.15170142983084,549.7201904443459,236.80941006196073,207.2082338042156,148.00588128872545
471.6288309144469,367.1849251422934,483.1895862224683,280.86886668167256,188.65153236577876,165.0700908200564,117.90720772861172
738.3071700781213,202.18475521399085,309.94968024361594,430.50920007084653,202.18475521399085,258.4075095273424,184.57679251953033
474.1190464946973,468.16675527694446,484.39727261230763,421.91373873559473,189.64761859787893,165.94166627314402,118.52976162367432
717.5123792895051,229.53988566069395,399.65809400285013,332.87413461950797,229.53988566069395,251.12933275132679,179.37809482237628
935.9260107663318,214.99113110214154,407.2242318558732,525.9381616510277,214.99113110214154,327.5741037682161,233.98150269158296
982.812738762831,155.76430519811703,294.46181981775203,370.1854132763756,155.76430519811703,294.46181981775203,245.70318469070776
969.9351921627167,142.63236927080203,394.7102667201467,378.88145556503804,142.63236927080203,339.4773172569508,242.48379804067918
729.1814569446138,380.57432174941897,439.82727749213956,228.40064968027107,291.67258277784555,255.21350993061483,182.29536423615346
583.8749884918077,153.0398912048068,362.3580460824543,593.1313682255072,153.0398912048068,204.35624597213268,145.96874712295192
733.2874546856822,186.21763024490687,262.52555504520694,545.8031642939336,186.21763024490687,256.6506091399888,183.32186367142054
832.9258652948547,281.26417199153684,395.1652362007809,440.163215523755,281.26417199153684,291.5240528531991,208.23146632371368
616.9992807725877,421.4661194411217,120.87215755721066,390.8485112180118,246.79971230903507,120.87215755721066,154.24982019314692
626.802923955914,434.47724067137165,389.133933075512,325.4226818608694,250.72116958236563,219.3810233845699,156.7007309889785
412.7476090051302,277.616365916616,407.5257836190584,485.6740356290751,165.0990436020521,144.46166315179556,103.18690225128255
927.4698827735259,184.52894380886596,339.96157183627525,506.30012108368186,184.52894380886596,324.61445897073406,231.86747069338148
651.3100647957734,429.46168718340704,451.34849955355315,534.6866711498875,260.5240259183094,227.9585226785207,162.82751619894336
517.5426893115726,113.05608576883776,118.62807910315642,416.51203495048014,113.05608576883776,118.62807910315642,129.38567232789316
519.7782304005442,488.9462788418566,224.5082526151024,281.8118203073733,207.9112921602177,181.92238064019045,129.94455760013605
855.3352360186708,280.42420321202917,466.1213148428822,213.8490709678901,280.42420321202917,299.3673326065348,213.8338090046677
421.61904448790756,110.19547290690141,204.21388425165068,395.64369517482714,110.19547290690141,147.56666557076764,105.40476112197689
538.9890490301402,253.44671428560864,475.0990506951471,236.52913362423857,215.5956196120561,188.64616716054906,134.74726225753506
928.221015310805,225.99240337464744,479.22372694296325,483.32451840101197,225.99240337464744,324.87735535878176,232.05525382770125
820.2002319801686,430.53618858067546,248.86640474823483,490.32745289964987,328.0800927920675,248.86640474823483,205.05005799504215
440.7818359628918,318.497699876941,256.42041419345367,359.89928079899113,176.31273438515674,154.27364258701212,110.19545899072295
505.14409292898875,359.4341492746663,293.280248748178,505.2355878207341,202.0576371715955,176.80043252514605,126.28602323224719
963.2842315940201,472.68959542639504,419.66840733720306,528.5519073436402,385.313692637608,337.149481057907,240.82105789850502
468.18564680027737,397.3171474049503,134.9690044566043,359.307652322041,187.27425872011096,134.9690044566043,117.04641170006934
481.9789082008393,333.8060393534861,231.9275747107475,525.1500667586483,192.79156328033574,168.69261787029376,120.49472705020983
647.0557487492435,479.1088815128914,158.2101476890117,550.5276042426694,258.8222994996974,158.2101476890117,161.7639371873109
506.24236608689637,167.3284982293117,200.49627417332266,347.0594941503015,167.3284982293117,177.1848281304137,126.56059152172409
763.2329758959067,152.69265418526086,256.78034114107913,327.86456086283306,152.69265418526086,256.78034114107913,190.8082439739767
962.3885147956232,174.12284446575427,300.1968076192347,230.19537585469632,174.12284446575427,300.1968076192347,230.19537585469632
511.8036096513759,333.49648544859457,209.0235953653771,312.2635976324205,204.72144386055038,179.13126337798155,127.95090241284397
491.7349019296812,293.9052324145188,228.97921765460052,530.7368956084442,196.6939607718725,172.1072156753884,122.9337254824203
880.1040590078228,185.59410968499552,481.34231424600284,430.7042677597267,185.59410968499552,308.03642065273795,220.0260147519557
782.3632327230791,435.1093946250498,117.62958929948861,223.31371645814446,312.94529308923165,117.62958929948861,195.59080818076978
615.9094466663383,447.2882562108972,339.7592302683797,402.436293499302,246.36377866653535,215.5683063332184,153.97736166658459
442.13247413616324,274.88059925458447,306.2234771909923,477.4302383010837,176.85298965446532,154.74636594765713,110.53311853404081
829.6288159448272,433.18549855841815,241.57340794357927,315.0043624932848,331.8515263779309,241.57340794357927,207.4072039862068
557.1709374182888,438.8624064846158,414.19124275293217,355.8426428698654,222.8683749673155,195.00982809640107,139.2927343545722
559.7652772883723,317.77178450227456,444.5942813633569,286.92672007343555,223.90611091534893,195.9178470509303,139.94131932209308
